A01,S01,S02
0.0,210.0,212.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,210.0,212.0
0.0,210.0,213.0
0.26,210.0,213.0
0.0,210.0,213.0
0.0,211.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,210.0,213.0
0.0,211.0,213.0
0.26,211.0,213.0
0.0,211.0,213.0
0.0,211.0,214.0
0.0,210.0,213.0
0.0,210.0,213.0
0.0,211.0,213.0
0.0,211.0,213.0
0.0,210.0,213.0
0.0,210.0,213.0
0.0,211.0,213.0
0.0,211.0,213.0
0.26,210.0,213.0
0.0,210.0,213.0
0.26,211.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,210.0,213.0
0.26,210.0,213.0
0.53,210.0,213.0
0.26,210.0,214.0
0.26,210.0,213.0
0.0,210.0,213.0
0.0,210.0,213.0
0.0,210.0,213.0
0.26,210.0,213.0
0.26,210.0,214.0
0.0,210.0,213.0
0.53,210.0,214.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,210.0,213.0
0.26,210.0,213.0
0.53,210.0,213.0
0.0,210.0,213.0
0.0,210.0,213.0
0.0,210.0,213.0
0.26,209.0,213.0
0.0,210.0,213.0
0.26,210.0,214.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,210.0,214.0
0.53,210.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,214.0
0.26,210.0,213.0
0.0,209.0,213.0
0.26,210.0,213.0
0.26,210.0,213.0
0.0,210.0,214.0
0.26,210.0,213.0
0.0,209.0,213.0
0.26,210.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.53,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.0,209.0,213.0
0.26,210.0,213.0
0.0,209.0,213.0
0.0,209.0,213.0
0.26,209.0,213.0
0.53,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.0,209.0,213.0
0.26,209.0,213.0
0.0,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,214.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,214.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,210.0,213.0
0.26,210.0,214.0
0.26,209.0,214.0
0.26,210.0,214.0
0.0,209.0,214.0
0.26,209.0,213.0
0.26,209.0,214.0
0.26,209.0,214.0
0.26,209.0,214.0
0.26,210.0,213.0
0.26,209.0,214.0
0.26,209.0,214.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,214.0
0.26,209.0,213.0
0.0,209.0,214.0
0.0,209.0,213.0
0.26,209.0,214.0
0.26,209.0,213.0
0.26,209.0,214.0
0.0,209.0,214.0
0.26,209.0,214.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,209.0,214.0
0.26,209.0,213.0
0.0,209.0,214.0
0.26,209.0,214.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,208.0,213.0
0.26,209.0,213.0
0.53,209.0,214.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.0,209.0,214.0
0.26,209.0,214.0
0.26,209.0,214.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,208.0,213.0
0.26,209.0,214.0
0.3,208.0,214.0
0.0,209.0,213.0
0.26,209.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.0,208.0,214.0
0.26,208.0,214.0
0.26,208.0,213.0
0.26,209.0,213.0
0.26,208.0,213.0
0.26,209.0,213.0
0.26,209.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,209.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.53,209.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
0.26,209.0,213.0
0.0,208.0,213.0
0.0,208.0,214.0
0.26,208.0,213.0
0.26,208.0,213.0
0.0,208.0,213.0
0.26,208.0,213.0
0.26,208.0,213.0
